日付,チーム名,ホーム/ビジター,相手チーム,得点,失点,勝敗,URL,自チーム_打数,自チーム_安打,自チーム_本塁打,自チーム_盗塁,自チーム_四球,自チーム_死球,自チーム_三振,自チーム_被本塁打,自チーム_与四球,自チーム_与死球,自チーム_奪三振,自チーム_与暴投,自チーム_与ボーク,相手チーム_打数,相手チーム_安打,相手チーム_本塁打,相手チーム_盗塁,試合時間,入場者数,コメント
2023-10-03,中日ドラゴンズ,ホーム,読売ジャイアンツ巨人,1,3,敗,https://npb.jp/scores/2023/1003/d-g-25/box.html,30.0,7.0,0.0,0.0,1.0,0.0,9.0,0.0,3.0,0.0,9.0,0.0,0.0,36.0,10.0,0.0,1.0,2:57,36325.0,
2023-09-25,中日ドラゴンズ,ホーム,阪神タイガース阪神,2,1,勝,https://npb.jp/scores/2023/0925/d-t-24/box.html,30.0,7.0,0.0,1.0,0.0,0.0,6.0,1.0,2.0,0.0,7.0,0.0,0.0,33.0,7.0,1.0,2.0,2:32,36309.0,
2023-09-23,中日ドラゴンズ,ビジター,横浜DeNAベイスターズDeNA,4,3,勝,https://npb.jp/scores/2023/0923/db-d-24/box.html,36.0,10.0,0.0,0.0,2.0,0.0,6.0,1.0,6.0,0.0,9.0,1.0,0.0,32.0,7.0,0.0,0.0,3:46,33228.0,
2023-09-22,中日ドラゴンズ,ビジター,横浜DeNAベイスターズDeNA,1,0,勝,https://npb.jp/scores/2023/0922/db-d-24/box.html,12.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,4.0,0.0,0.0,,,
2023-08-31,中日ドラゴンズ,ホーム,東京ヤクルトスワローズヤクルト,1,6,敗,https://npb.jp/scores/2023/0831/d-s-23/box.html,30.0,5.0,1.0,1.0,1.0,0.0,5.0,0.0,4.0,2.0,4.0,0.0,0.0,32.0,7.0,0.0,0.0,2:59,29353.0,
2023-08-26,中日ドラゴンズ,ホーム,横浜DeNAベイスターズDeNA,0,2,敗,https://npb.jp/scores/2023/0826/d-db-19/box.html,41.0,8.0,0.0,0.0,6.0,0.0,13.0,0.0,7.0,0.0,8.0,0.0,0.0,42.0,10.0,0.0,2.0,4:45,36334.0,
2023-08-17,中日ドラゴンズ,ホーム,読売ジャイアンツ巨人,0,2,敗,https://npb.jp/scores/2023/0817/d-g-18/box.html,35.0,8.0,0.0,0.0,2.0,1.0,4.0,0.0,4.0,0.0,7.0,1.0,0.0,31.0,8.0,0.0,0.0,3:24,33880.0,
2023-05-30,中日ドラゴンズ,ビジター,福岡ソフトバンクホークスソフトバンク,5,13,敗,https://npb.jp/scores/2023/0530/h-d-01/box.html,38.0,13.0,2.0,0.0,1.0,0.0,5.0,0.0,3.0,3.0,5.0,1.0,0.0,37.0,14.0,1.0,0.0,3:20,33791.0,
2023-04-22,中日ドラゴンズ,ホーム,阪神タイガース阪神,0,2,敗,https://npb.jp/scores/2023/0422/d-t-02/box.html,29.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,10.0,0.0,0.0,30.0,6.0,0.0,0.0,2:22,34763.0,
2023-03-25,その他,ホーム,千葉ロッテマリーンズロッテ,1,0,勝,,,,,,,,,,,,,,,,,,,,,
2022-09-16,中日ドラゴンズ,ホーム,東京ヤクルトスワローズ,8,0,勝,https://npb.jp/scores/2022/0916/d-s-22/box.html,30.0,10.0,0.0,0.0,9.0,0.0,5.0,0.0,3.0,0.0,9.0,0.0,0.0,29.0,2.0,0.0,0.0,2:57,30063.0,
2022-08-18,中日ドラゴンズ,ビジター,広島東洋カープ,6,1,勝,https://npb.jp/scores/2022/0818/c-d-20/box.html,35,13,0,0,2,1,8,1,1,0,7,0,0,33,8,0,0,3:21,28283,
