日付,チーム名,ホーム/ビジター,相手チーム,得点,失点,勝敗,URL,自チーム_打数,自チーム_安打,自チーム_本塁打,自チーム_盗塁,自チーム_四球,自チーム_死球,自チーム_三振,自チーム_被本塁打,自チーム_与四球,自チーム_与死球,自チーム_奪三振,自チーム_与暴投,自チーム_与ボーク,相手チーム_打数,相手チーム_安打,相手チーム_本塁打,相手チーム_盗塁,試合時間,入場者数,コメント
2025-08-15,中日ドラゴンズ,ホーム,横浜DeNAベイスターズDeNA,3,4,敗,https://npb.jp/scores/2025/0815/d-db-18/box.html,35,8,2,0,3,0,7,0,3,0,7,0,0,38,11,1,2,4:03,36288,
2025-07-26,中日ドラゴンズ,ビジター,東京ヤクルトスワローズヤクルト,1,2,敗,https://npb.jp/scores/2025/0726/s-d-15/box.html,31,8,0,0,1,0,5,0,4,1,6,0,0,28,8,0,0,3:10,27540,
2025-07-27,中日ドラゴンズ,ビジター,東京ヤクルトスワローズヤクルト,2,3,敗,https://npb.jp/scores/2025/0727/s-d-16/box.html,30,4,2,0,1,0,6,0,2,0,5,1,0,29,9,1,0,2:36,27917,
